"insee","id_sdis","id_gestion","ref_terr","type_pei","diam_pei","diam_cana","date_mes","situation","press_stat","press_dyn","debit","date_ct","deci","prec","x","y","lon","lat"
"73010",NULL,"GRAND ANNECY","MARCELLAZ","PI",NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,"OUI","05",930979.3,6526051.95,5.97412,45.79494
"74002","65927","GRAND ANNECY","AC01","PI",100,"100",NULL," ",4.8,2.3,60,"2024-07-22","OUI","01",934587.83,6528837.19,6.02191,45.81877
"74002","80371","GRAND ANNECY","AC02","PI",100,"100",NULL,"RUE DU PONT NEUF",5.1,2.6,60,"2024-07-22","OUI","01",934722.77,6528845.88,6.02366,45.8188
"74002","65042","GRAND ANNECY","AC03","PI",100,NULL,NULL,"RUE DU PONT NEUF",4.1,1.2,60,"2024-06-20","OUI","05",934739.25,6528879.72,6.02388,45.8191
"74002","82891","GRAND ANNECY","AC04","PI",100,NULL,NULL,"RUE DU PONT NEUF",5.1,2.8,60,"2024-06-20","OUI","01",934625.4,6528931.05,6.02244,45.8196
"74002","81071","GRAND ANNECY","AC05","PI",100,"150",NULL," ",4.6,2.1,60,"2024-07-22","OUI","05",934400.0,6528850.78,6.0195,45.81895
"74002","65928","GRAND ANNECY","AC06","PI",100,"100",NULL," ",9,1,54,"2024-06-18","OUI","01",934639.25,6528682.07,6.0225,45.81735
"74002","6281451","GRAND ANNECY","AC10","PI",100,"60",NULL," ",5.5,1,24,"2024-06-20","OUI","05",934726.43,6528745.27,6.02365,45.81789
"74002","6281448","GRAND ANNECY","AC100","PI",100,"100",NULL," ",4.6,2.9,60,"2024-06-19","OUI","01",934120.09,6527386.85,6.01518,45.80588
"74002","6281486","GRAND ANNECY","AC101","PI",100,"100",NULL," ",5.4,4.3,60,"2024-06-19","OUI","05",933536.18,6528114.09,6.00803,45.81262
"74002","6281464","GRAND ANNECY","AC102","PI",100,NULL,NULL," ",4.5,3.3,60,"2024-06-19","OUI","01",933164.63,6528759.23,6.00356,45.81855
"74002","6281488","GRAND ANNECY","AC103","PI",100,"100",NULL,"ROUTE DES MOLASSES",3.7,1,25,"2024-06-19","OUI","01",934031.5,6527747.79,6.01422,45.80915
"74002","80230","GRAND ANNECY","AC11","PI",100,"60",NULL," ",7,1,40,"2024-06-18","OUI","05",934790.76,6528428.14,6.02432,45.81502
"74002","65057","GRAND ANNECY","AC12","PI",100,NULL,NULL," ",3.5,1,36,"2024-06-20","OUI","05",934910.12,6528395.8,6.02584,45.81468
"74002","83279","GRAND ANNECY","AC13","PI",100,NULL,NULL," ",7.1,1,37,"2024-06-18","OUI","05",934755.36,6528600.94,6.02395,45.81658
"74002","80229","GRAND ANNECY","AC14","PI",100,"100",NULL," ",5.4,2.4,60,"2024-06-20","OUI","05",934897.64,6528975.53,6.02597,45.8199
"74002","64665","GRAND ANNECY","AC15","PI",100,"100",NULL," ",4.4,1.4,60,"2024-06-20","OUI","05",934707.26,6529079.86,6.02357,45.82091
"74002","76036","GRAND ANNECY","AC16","PI",65,NULL,NULL," ",3.2,1,16,"2022-04-28","OUI","05",934517.3,6529009.49,6.02109,45.82034
"74002","64211","GRAND ANNECY","AC17","PI",100,"150",NULL,"ROUTE DU VIEUX BOURG",4.2,1.3,60,"2024-06-19","OUI","05",934471.26,6528597.65,6.0203,45.81665
"74002","64213","GRAND ANNECY","AC18","PI",100,"150",NULL," ",4.1,1.2,60,"2024-07-22","OUI","05",934541.91,6528466.22,6.02114,45.81544
"74002","64023","GRAND ANNECY","AC19","PI",100,"100",NULL,"ALLEE DE LA CHAPELLE",3.6,2.9,60,"2024-06-19","OUI","01",934339.48,6528564.5,6.01858,45.8164
"74002","64212","GRAND ANNECY","AC20","PI",100,"100",NULL,"ROUTE DE CHAMP BUISSON",3,2,60,"2024-06-19","OUI","01",934278.49,6528522.76,6.01778,45.81604
"74002","65203","GRAND ANNECY","AC21","PI",65,"100",NULL,"ROUTE DE CHAMP BUISSON",6.3,2.9,60,"2024-06-19","OUI","05",934354.38,6528275.57,6.01863,45.81379
"74002","6281750","GRAND ANNECY","AC23","PI",100,"100",NULL,"CHEMIN DU PESSAY",5,1,57,"2024-06-19","OUI","05",934334.7,6527972.12,6.01823,45.81107
"74002","65202","GRAND ANNECY","AC24","PI",100,"100",NULL,"ROUTE DE SAINT MAURICE",5.2,1.9,60,"2024-06-19","OUI","05",934116.46,6528184.92,6.01553,45.81306
"74002","65198","GRAND ANNECY","AC25","PI",100,NULL,NULL," ",4.3,1,40,"2022-04-28","OUI","05",933966.81,6528118.39,6.01357,45.81251
"74002","80372","GRAND ANNECY","AC26","PI",100,NULL,NULL," ",4.1,1,46,"2024-06-19","OUI","01",933993.76,6528027.89,6.01387,45.81169
"74002","80250","GRAND ANNECY","AC27","PI",65,NULL,NULL," ",4.2,1,35,"2024-06-19","OUI","01",934009.5,6528050.7,6.01409,45.81189
"74002","65199","GRAND ANNECY","AC28","PI",65,NULL,NULL,"ROUTE DES MOLASSES",3.2,1,21,"2024-06-19","OUI","01",934039.58,6527677.56,6.01429,45.80852
"74002","65200","GRAND ANNECY","AC29","PI",100,"100",NULL," ",2.8,1,20,"2024-06-19","OUI","01",934140.9,6527693.02,6.0156,45.80862
"74002","65201","GRAND ANNECY","AC30","PI",100,"100",NULL," ",5,3.9,60,"2024-06-19","OUI","01",933971.87,6527387.27,6.01328,45.80593
"74002","81969","GRAND ANNECY","AC34","PI",100,"100",NULL,"ROUTE DE MASIGNY",5.8,3,60,"2024-06-19","OUI","05",933894.38,6528370.58,6.01276,45.81481
"74002","62894","GRAND ANNECY","AC35","PI",100,NULL,NULL," ",6.4,1.2,60,"2024-06-20","OUI","05",933995.85,6528542.4,6.01415,45.81632
